Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2026-01-02 08:05,Stop,2.2,393,919.62,-56.8,-6.17,0,0.00,-55.94,-6.08,-56.8,-1.26
1,Entry long,2026-01-02 08:01,Long,2.34,393,919.62,-56.8,-6.17,0,0.00,-55.94,-6.08,-56.8,-1.26
2,Exit long,2026-01-02 14:25,ST Flip,2.39,408,991.44,-18.29,-1.84,56.13,5.66,-17.31,-1.74,-75.09,-1.67
2,Entry long,2026-01-02 11:15,Long,2.43,408,991.44,-18.29,-1.84,56.13,5.66,-17.31,-1.74,-75.09,-1.67
3,Exit long,2026-01-05 15:59,ST Flip,2.47,398,991.02,-9.93,-1.00,46.77,4.71,-16.91,-1.70,-85.02,-1.89
3,Entry long,2026-01-05 09:33,Long,2.49,398,991.02,-9.93,-1.00,46.77,4.71,-16.91,-1.70,-85.02,-1.89
4,Exit long,2026-01-06 10:21,ST Flip,2.38,396,997.92,-57.38,-5.74,0,0.00,-56.44,-5.65,-142.41,-3.16
4,Entry long,2026-01-06 08:43,Long,2.52,396,997.92,-57.38,-5.74,0,0.00,-56.44,-5.65,-142.41,-3.16
5,Exit long,2026-01-07 05:33,Stop,2.22,421,976.72,-44.01,-4.50,0,0.00,-43.08,-4.41,-186.42,-4.14
5,Entry long,2026-01-07 05:31,Long,2.32,421,976.72,-44.01,-4.50,0,0.00,-43.08,-4.41,-186.42,-4.14
6,Exit long,2026-01-08 09:41,ST Flip,2.32,425,990.25,-6.23,-0.63,54.26,5.47,-13.74,-1.39,-192.64,-4.28
6,Entry long,2026-01-07 13:44,Long,2.33,425,990.25,-6.23,-0.63,54.26,5.47,-13.74,-1.39,-192.64,-4.28
7,Exit long,2026-01-08 14:44,ST Flip,2.39,411,998.73,-18.42,-1.84,35.99,3.60,-17.44,-1.74,-211.06,-4.69
7,Entry long,2026-01-08 10:04,Long,2.43,411,998.73,-18.42,-1.84,35.99,3.60,-17.44,-1.74,-211.06,-4.69
8,Exit long,2026-01-12 04:38,Stop,2.3,395,932.2,-25.54,-2.74,0,0.00,-24.63,-2.64,-236.6,-5.26
8,Entry long,2026-01-12 04:04,Long,2.36,395,932.2,-25.54,-2.74,0,0.00,-24.63,-2.64,-236.6,-5.26
9,Exit long,2026-01-13 06:45,ST Flip,2.32,425,1007.25,-23.24,-2.31,54.24,5.38,-22.26,-2.21,-259.85,-5.77
