Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2026-03-15 21:05,ST Flip,0.09766,10218.679,1000.306487,-4.35,-0.43,2.27,0.23,-3.45,-0.34,-4.35,-0.10
1,Entry long,2026-03-15 20:49,Long,0.09789,10218.679,1000.306487,-4.35,-0.43,2.27,0.23,-3.45,-0.34,-4.35,-0.10
2,Exit long,2026-03-15 21:33,Stop,0.09743,10219.724,1000.102191,-6.39,-0.64,2.17,0.22,-5.6,-0.56,-10.74,-0.24
2,Entry long,2026-03-15 21:23,Long,0.09786,10219.724,1000.102191,-6.39,-0.64,2.17,0.22,-5.6,-0.56,-10.74,-0.24
3,Exit long,2026-03-15 22:20,Stop,0.0976,10209.29,1000.102048,-5.67,-0.57,0,0.00,-4.68,-0.47,-16.41,-0.36
3,Entry long,2026-03-15 22:05,Long,0.09796,10209.29,1000.102048,-5.67,-0.57,0,0.00,-4.68,-0.47,-16.41,-0.36
4,Exit long,2026-03-15 22:57,RSI Exit,0.09834,10262.725,1000.102551,7.12,0.71,9.67,0.97,-1.31,-0.13,-9.29,-0.21
4,Entry long,2026-03-15 22:45,Long,0.09745,10262.725,1000.102551,7.12,0.71,9.67,0.97,-1.31,-0.13,-9.29,-0.21
5,Exit long,2026-03-16 02:27,ST Flip,0.10152,9946.29,999.602145,8.14,0.81,19.49,1.95,-2.39,-0.24,-1.15,-0.03
5,Entry long,2026-03-16 00:50,Long,0.1005,9946.29,999.602145,8.14,0.81,19.49,1.95,-2.39,-0.24,-1.15,-0.03
6,Exit long,2026-03-16 04:15,ST Flip,0.10228,9786.651,1000.195732,-1.22,-0.12,6.24,0.62,-3.35,-0.33,-2.37,-0.05
6,Entry long,2026-03-16 03:04,Long,0.1022,9786.651,1000.195732,-1.22,-0.12,6.24,0.62,-3.35,-0.33,-2.37,-0.05
7,Exit long,2026-03-16 06:08,ST Flip,0.10093,9931.472,999.9999157,0.38,0.04,5.65,0.56,-4.18,-0.42,-1.99,-0.04
7,Entry long,2026-03-16 05:18,Long,0.10069,9931.472,999.9999157,0.38,0.04,5.65,0.56,-4.18,-0.42,-1.99,-0.04
8,Exit long,2026-03-16 07:09,ST Flip,0.10026,9946.29,999.7016079,-4.48,-0.45,1.69,0.17,-3.49,-0.35,-6.47,-0.14
8,Entry long,2026-03-16 06:56,Long,0.10051,9946.29,999.7016079,-4.48,-0.45,1.69,0.17,-3.49,-0.35,-6.47,-0.14
9,Exit long,2026-03-16 08:22,ST Flip,0.09987,10013.016,999.9999079,-2,-0.20,5.51,0.55,-2.1,-0.21,-8.47,-0.19
9,Entry long,2026-03-16 07:43,Long,0.09987,10013.016,999.9999079,-2,-0.20,5.51,0.55,-2.1,-0.21,-8.47,-0.19
10,Exit long,2026-03-16 09:31,ST Flip,0.10024,9968.102,999.9003116,-2.7,-0.27,3.29,0.33,-2,-0.20,-11.17,-0.25
10,Entry long,2026-03-16 09:12,Long,0.10031,9968.102,999.9003116,-2.7,-0.27,3.29,0.33,-2,-0.20,-11.17,-0.25
11,Exit long,2026-03-16 09:45,ST Flip,0.10074,9909.82,999.900838,-3.58,-0.36,7.03,0.70,-3.87,-0.39,-14.75,-0.33
11,Entry long,2026-03-16 09:34,Long,0.1009,9909.82,999.900838,-3.58,-0.36,7.03,0.70,-3.87,-0.39,-14.75,-0.33
