Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2026-03-11 10:40,Lips Cross Down,1.53,605,968,-44.24,-4.57,0,0.00,-43.32,-4.47,-44.24,-4.42
1,Entry long,2026-03-11 10:35,Long,1.6,605,968,-44.24,-4.57,0,0.00,-43.32,-4.47,-44.24,-4.42
2,Exit long,2026-03-16 09:50,ATR Stop,1.47,612,954.72,-56.93,-5.96,0,0.00,-56.03,-5.86,-101.18,-10.12
2,Entry long,2026-03-13 14:15,Long,1.56,612,954.72,-56.93,-5.96,0,0.00,-56.03,-5.86,-101.18,-10.12
3,Exit long,2026-03-19 09:30,Take Profit,2.3,544,892.16,356.9,39.96,358.15,40.10,-22.65,-2.54,255.72,25.57
3,Entry long,2026-03-19 07:45,Long,1.64,544,892.16,356.9,39.96,358.15,40.10,-22.65,-2.54,255.72,25.57
4,Exit long,2026-03-19 11:20,Lips Cross Down,2.07,560,1254.4,-97.61,-7.77,0,0.00,-96.45,-7.68,158.11,15.81
4,Entry long,2026-03-19 11:10,Long,2.24,560,1254.4,-97.61,-7.77,0,0.00,-96.45,-7.68,158.11,15.81
5,Exit long,2026-03-19 16:55,Lips Cross Down,2.48,446,1159.6,-55.79,-4.81,0,0.00,-63.6,-5.48,102.32,10.23
5,Entry long,2026-03-19 16:30,Long,2.6,446,1159.6,-55.79,-4.81,0,0.00,-63.6,-5.48,102.32,10.23
